acclr(x),acclr(y),acclr(z),gyro(x),gyro(y),gyro(z)
0.46,-0.11,9.46,-0.1,-0.09,-0.04
0.16,-0.03,10.7,-0.06,-0.05,-0.04
0.24,-0.06,11.07,-0.03,0.02,-0.04
0.41,-0.01,10.03,0,0.06,-0.04
0.65,-0.06,8.54,-0.03,0.06,-0.04
0.74,-0.11,7.68,-0.06,0,-0.04
0.61,-0.16,8.55,-0.09,-0.07,-0.05
0.3,-0.04,9.96,-0.09,-0.09,-0.04
0.14,-0.06,11.02,-0.05,-0.02,-0.04
0.28,-0.05,10.79,-0.02,0.03,-0.04
0.56,0,9.48,-0.01,0.07,-0.04
0.71,-0.08,7.89,-0.04,0.04,-0.04
0.73,-0.14,7.88,-0.08,-0.03,-0.04
0.51,-0.14,9.08,-0.1,-0.08,-0.04
0.19,-0.03,10.47,-0.07,-0.06,-0.04
0.17,-0.1,11.18,-0.03,0,-0.04
0.38,0,10.23,-0.01,0.05,-0.04
0.59,-0.07,9.02,-0.02,0.06,-0.04
0.73,-0.07,7.66,-0.06,0.01,-0.04
0.65,-0.13,8.17,-0.09,-0.05,-0.04
0.39,-0.11,9.65,-0.09,-0.09,-0.04
0.11,-0.04,10.87,-0.05,-0.04,-0.04
0.26,-0.06,10.96,-0.02,0.03,-0.04
0.45,-0.05,9.92,-0.01,0.06,-0.04
0.68,-0.06,8.27,-0.03,0.05,-0.04
0.72,-0.09,7.73,-0.07,-0.01,-0.04
0.55,-0.13,8.75,-0.09,-0.07,-0.04
0.27,-0.06,10.12,-0.08,-0.08,-0.04
0.14,-0.07,11.13,-0.04,-0.01,-0.04
0.29,0,10.64,-0.02,0.04,-0.04
0.51,-0.07,9.39,-0.01,0.07,-0.04
0.72,-0.04,7.86,-0.04,0.03,-0.04
0.69,-0.12,7.88,-0.08,-0.03,-0.05
0.51,-0.13,9.12,-0.1,-0.08,-0.04
0.18,-0.07,10.56,-0.07,-0.06,-0.04
0.19,-0.08,11.18,-0.03,0.01,-0.04
0.4,0.07,10.22,-0.01,0.05,-0.04
0.54,-0.07,9.03,-0.02,0.06,-0.04
0.76,-0.08,7.68,-0.05,0.01,-0.05
0.69,-0.14,8.14,-0.08,-0.05,-0.05
0.35,-0.1,9.66,-0.1,-0.09,-0.04
0.13,-0.06,10.86,-0.06,-0.04,-0.04
0.26,-0.02,10.95,-0.02,0.03,-0.04
0.46,-0.03,9.92,0,0.06,-0.04
0.64,-0.06,8.28,-0.03,0.05,-0.04
0.74,-0.06,7.67,-0.06,0,-0.04
0.57,-0.13,8.69,-0.09,-0.07,-0.05
0.26,-0.06,10.1,-0.09,-0.08,-0.04
0.18,-0.07,11.09,-0.04,-0.01,-0.04
0.31,0,10.64,-0.02,0.04,-0.04
0.55,-0.04,9.32,-0.01,0.07,-0.04
0.72,-0.04,7.83,-0.05,0.03,-0.04
0.68,-0.11,7.99,-0.08,-0.04,-0.05
0.48,-0.13,9.22,-0.1,-0.08,-0.04
0.18,-0.04,10.65,-0.06,-0.05,-0.04
0.22,-0.09,11.24,-0.03,0.01,-0.04
0.36,0,10.21,-0.01,0.06,-0.04
0.63,-0.1,8.82,-0.02,0.06,-0.04
0.7,-0.08,7.67,-0.06,0,-0.04
0.64,-0.13,8.3,-0.09,-0.06,-0.04
0.35,-0.11,9.86,-0.09,-0.08,-0.04
0.09,-0.05,10.95,-0.05,-0.03,-0.04
0.29,-0.03,10.86,-0.02,0.03,-0.04
0.48,-0.05,9.78,-0.01,0.07,-0.04
0.69,-0.05,8.09,-0.04,0.05,-0.04
0.72,-0.08,7.71,-0.07,-0.02,-0.04
0.55,-0.12,8.81,-0.09,-0.08,-0.05
0.23,-0.05,10.32,-0.08,-0.07,-0.04
0.17,-0.07,11.15,-0.04,0,-0.04
0.31,0,10.51,-0.01,0.05,-0.04
0.52,-0.06,9.22,-0.01,0.07,-0.04
0.7,-0.03,7.73,-0.05,0.03,-0.04
0.72,-0.13,8.03,-0.08,-0.04,-0.04
0.48,-0.16,9.28,-0.1,-0.09,-0.04
0.14,-0.05,10.75,-0.06,-0.05,-0.04
0.19,-0.05,11.14,-0.03,0.01,-0.04
0.4,0,10.01,-0.01,0.06,-0.04
0.64,-0.09,8.71,-0.03,0.06,-0.04
0.73,-0.07,7.62,-0.06,0,-0.04
0.63,-0.13,8.33,-0.09,-0.06,-0.04
0.3,-0.06,9.92,-0.09,-0.09,-0.04
0.09,-0.05,11,-0.05,-0.03,-0.04
0.29,0,10.83,-0.02,0.03,-0.04
0.45,-0.04,9.73,-0.01,0.07,-0.04
0.72,-0.06,8.03,-0.04,0.04,-0.04
0.73,-0.09,7.74,-0.07,-0.02,-0.05
0.52,-0.13,8.93,-0.09,-0.08,-0.05
0.23,-0.05,10.28,-0.08,-0.07,-0.04
0.16,-0.06,11.14,-0.04,0,-0.04
0.35,0.04,10.46,-0.01,0.05,-0.04
0.58,-0.09,9.18,-0.02,0.07,-0.04
0.73,-0.04,7.69,-0.05,0.03,-0.04
0.68,-0.13,8.05,-0.08,-0.04,-0.04
0.42,-0.11,9.35,-0.1,-0.09,-0.04
0.13,-0.04,10.76,-0.06,-0.05,-0.04
0.23,-0.04,11.15,-0.03,0.02,-0.04
0.4,-0.03,10.01,-0.01,0.06,-0.04
0.62,-0.06,8.63,-0.03,0.06,-0.04
0.75,-0.06,7.65,-0.06,0.01,-0.04
0.62,-0.14,8.4,-0.09,-0.06,-0.05
0.26,-0.07,9.96,-0.09,-0.08,-0.04
0.11,-0.04,11.04,-0.05,-0.03,-0.04
0.29,-0.04,10.88,-0.02,0.03,-0.04
0.47,-0.04,9.69,-0.01,0.07,-0.04
0.65,-0.06,8.12,-0.04,0.05,-0.04
0.72,-0.1,7.76,-0.07,-0.02,-0.05
0.53,-0.14,8.84,-0.09,-0.08,-0.05
0.21,-0.04,10.35,-0.08,-0.07,-0.04
0.13,-0.05,11.14,-0.04,-0.01,-0.04
0.36,0.01,10.49,-0.01,0.05,-0.04
0.52,-0.08,9.29,-0.01,0.07,-0.04
0.74,-0.06,7.66,-0.05,0.02,-0.04
0.7,-0.15,8.02,-0.08,-0.04,-0.04
0.4,-0.11,9.42,-0.09,-0.09,-0.04
0.15,-0.05,10.68,-0.06,-0.06,-0.04
0.23,-0.06,11.1,-0.03,0.02,-0.04
0.4,0,10.1,-0.01,0.06,-0.04
0.62,-0.06,8.55,-0.03,0.06,-0.04
0.75,-0.09,7.65,-0.06,0,-0.04
0.61,-0.11,8.46,-0.09,-0.06,-0.04
0.32,-0.09,9.94,-0.09,-0.09,-0.04
0.13,-0.06,11.07,-0.05,-0.02,-0.04
0.31,-0.04,10.87,-0.02,0.03,-0.04
0.5,-0.07,9.66,-0.01,0.07,-0.04
0.7,-0.05,7.99,-0.04,0.05,-0.04
0.74,-0.13,7.77,-0.07,-0.02,-0.04
0.54,-0.14,8.94,-0.1,-0.08,-0.05
0.22,-0.04,10.39,-0.08,-0.07,-0.04
0.15,-0.06,11.14,-0.04,0,-0.04
0.32,0.02,10.41,-0.01,0.05,-0.04
0.55,-0.06,9.28,-0.01,0.07,-0.04
0.75,-0.05,7.64,-0.05,0.02,-0.04
0.7,-0.14,8,-0.08,-0.04,-0.04
0.45,-0.12,9.39,-0.1,-0.09,-0.04
0.16,-0.05,10.65,-0.06,-0.06,-0.04
0.21,-0.05,11.16,-0.03,0.02,-0.04
0.36,0,10.17,-0.01,0.06,-0.04
0.64,-0.06,8.69,-0.02,0.06,-0.04
0.73,-0.06,7.64,-0.06,0.01,-0.04
0.64,-0.12,8.31,-0.09,-0.06,-0.05
0.34,-0.09,9.74,-0.09,-0.09,-0.04
0.09,-0.03,10.98,-0.05,-0.03,-0.04
0.25,-0.05,11,-0.02,0.03,-0.04
0.47,-0.05,9.88,0,0.07,-0.04
0.62,-0.06,8.34,-0.03,0.05,-0.04
0.74,-0.11,7.68,-0.07,-0.01,-0.04
0.61,-0.14,8.55,-0.09,-0.07,-0.05
0.22,-0.05,10.1,-0.08,-0.08,-0.04
0.14,-0.07,11.13,-0.04,-0.02,-0.04
0.31,-0.01,10.73,-0.02,0.04,-0.04
0.49,-0.06,9.67,-0.01,0.07,-0.04
0.73,-0.05,7.89,-0.04,0.04,-0.04
0.71,-0.11,7.75,-0.07,-0.02,-0.04
0.54,-0.13,8.96,-0.1,-0.08,-0.04
0.2,-0.06,10.32,-0.08,-0.07,-0.04
0.18,-0.1,11.17,-0.04,0,-0.04
0.3,0.01,10.57,-0.01,0.05,-0.04
0.54,-0.08,9.27,-0.01,0.07,-0.04
0.74,-0.01,7.69,-0.05,0.03,-0.04
0.69,-0.12,7.91,-0.08,-0.04,-0.04
0.48,-0.13,9.19,-0.1,-0.08,-0.04
0.19,-0.04,10.63,-0.07,-0.06,-0.04
0.18,-0.05,11.22,-0.03,0.01,-0.04
0.36,0,10.24,-0.01,0.06,-0.04
0.58,-0.09,9.03,-0.02,0.06,-0.04
0.74,-0.07,7.6,-0.05,0.02,-0.04
0.68,-0.12,8.05,-0.08,-0.05,-0.05
0.38,-0.08,9.56,-0.09,-0.09,-0.04
0.13,-0.05,10.81,-0.06,-0.05,-0.04
0.24,-0.07,11.09,-0.03,0.02,-0.04
0.4,-0.01,10.08,-0.01,0.06,-0.04
0.65,-0.06,8.51,-0.03,0.06,-0.04
0.74,-0.08,7.61,-0.06,0,-0.04
0.64,-0.13,8.38,-0.09,-0.06,-0.04
0.35,-0.1,9.8,-0.09,-0.09,-0.04
0.13,-0.06,11.01,-0.05,-0.03,-0.04
0.26,-0.03,11.04,-0.03,0.03,-0.04
0.48,-0.06,9.88,-0.01,0.07,-0.04
0.63,-0.04,8.35,-0.03,0.05,-0.04
0.73,-0.1,7.63,-0.07,-0.01,-0.04
0.62,-0.13,8.58,-0.09,-0.07,-0.05
0.25,-0.07,10.13,-0.08,-0.08,-0.04
0.11,-0.05,11.11,-0.04,-0.02,-0.04
0.3,-0.01,10.72,-0.02,0.04,-0.04
0.48,-0.05,9.67,-0.01,0.07,-0.04
0.71,-0.05,7.93,-0.04,0.04,-0.04
0.73,-0.12,7.75,-0.07,-0.02,-0.05
0.53,-0.15,8.88,-0.09,-0.08,-0.04
0.2,-0.03,10.26,-0.08,-0.08,-0.04
0.16,-0.07,11.16,-0.04,-0.01,-0.04
0.32,0.02,10.6,-0.02,0.04,-0.04
0.5,-0.08,9.36,-0.01,0.07,-0.04
0.7,-0.04,7.79,-0.04,0.04,-0.04
0.7,-0.11,7.9,-0.08,-0.03,-0.04
0.5,-0.14,9.03,-0.1,-0.08,-0.04
0.21,-0.04,10.48,-0.07,-0.06,-0.04
0.18,-0.09,11.22,-0.03,0,-0.04
0.35,0.01,10.39,-0.01,0.05,-0.04
0.57,-0.08,9.2,-0.01,0.07,-0.04
0.76,-0.06,7.63,-0.05,0.02,-0.04
0.69,-0.12,7.95,-0.08,-0.04,-0.04
0.49,-0.15,9.34,-0.1,-0.09,-0.04
0.15,-0.03,10.55,-0.07,-0.06,-0.04
0.19,-0.07,11.21,-0.03,0.01,-0.04
0.36,-0.01,10.29,-0.01,0.06,-0.04
0.62,-0.09,8.92,-0.02,0.07,-0.04
0.74,-0.07,7.6,-0.05,0.02,-0.04
0.68,-0.14,8.11,-0.08,-0.05,-0.05
0.42,-0.1,9.4,-0.09,-0.09,-0.04
0.12,-0.03,10.81,-0.06,-0.05,-0.04
0.23,-0.06,11.2,-0.03,0.01,-0.04
0.4,-0.01,10.13,-0.01,0.06,-0.04
0.63,-0.1,8.83,-0.02,0.06,-0.04
0.73,-0.08,7.59,-0.06,0.01,-0.04
0.69,-0.14,8.18,-0.09,-0.05,-0.04
0.35,-0.09,9.67,-0.09,-0.09,-0.04
0.14,-0.04,10.88,-0.06,-0.05,-0.04
0.26,-0.06,11.12,-0.03,0.02,-0.04
0.43,-0.01,10.07,-0.01,0.06,-0.04
0.63,-0.07,8.5,-0.03,0.06,-0.04
0.75,-0.07,7.6,-0.06,0.01,-0.05
0.65,-0.13,8.31,-0.09,-0.06,-0.05
0.32,-0.09,9.75,-0.09,-0.09,-0.04
0.1,-0.07,10.97,-0.05,-0.04,-0.04
0.24,-0.05,11.06,-0.02,0.03,-0.04
0.43,-0.01,10.04,-0.01,0.06,-0.04
0.66,-0.06,8.49,-0.03,0.06,-0.04
0.75,-0.09,7.59,-0.06,0,-0.04
0.65,-0.12,8.35,-0.09,-0.06,-0.04
0.31,-0.1,9.9,-0.09,-0.09,-0.04
0.13,-0.06,10.99,-0.05,-0.03,-0.04
0.25,-0.05,11.04,-0.03,0.03,-0.04
0.45,-0.07,9.94,-0.01,0.06,-0.04
0.65,-0.07,8.44,-0.03,0.06,-0.04
0.74,-0.1,7.6,-0.06,0,-0.04
0.62,-0.16,8.51,-0.09,-0.07,-0.04
0.29,-0.1,9.94,-0.09,-0.09,-0.04
0.11,-0.07,11.04,-0.05,-0.03,-0.04
0.28,-0.06,10.98,-0.02,0.03,-0.04
0.45,-0.04,9.95,-0.01,0.07,-0.04
0.68,-0.05,8.28,-0.03,0.05,-0.04
0.75,-0.1,7.66,-0.07,-0.01,-0.05
0.6,-0.11,8.5,-0.09,-0.07,-0.05
0.3,-0.08,10.05,-0.09,-0.08,-0.04
0.16,-0.06,11.05,-0.05,-0.03,-0.04
0.3,-0.04,10.99,-0.02,0.03,-0.04
0.49,-0.05,9.83,-0.01,0.07,-0.04
0.69,-0.07,8.33,-0.03,0.05,-0.04
0.75,-0.1,7.63,-0.07,-0.01,-0.05
0.56,-0.14,8.66,-0.09,-0.07,-0.05
0.26,-0.05,10.03,-0.09,-0.08,-0.04
0.11,-0.07,11.09,-0.05,-0.03,-0.04
0.29,-0.03,10.86,-0.02,0.04,-0.04
0.5,-0.05,9.84,-0.01,0.07,-0.04
0.7,-0.06,8.16,-0.04,0.05,-0.04
0.77,-0.1,7.6,-0.07,-0.01,-0.04
0.58,-0.13,8.63,-0.09,-0.07,-0.04
0.26,-0.07,10,-0.09,-0.09,-0.04
0.13,-0.06,11.14,-0.04,-0.02,-0.04
0.3,-0.05,10.89,-0.02,0.03,-0.04
0.47,-0.05,9.75,-0.01,0.07,-0.04
0.68,-0.04,8.17,-0.04,0.05,-0.04
0.76,-0.13,7.6,-0.07,-0.01,-0.04
0.58,-0.13,8.59,-0.09,-0.07,-0.05
0.28,-0.08,10.17,-0.08,-0.08,-0.04
0.11,-0.05,11.05,-0.05,-0.02,-0.04
0.33,-0.03,10.78,-0.02,0.04,-0.04
0.44,-0.06,9.79,-0.01,0.07,-0.04
0.69,-0.04,8.05,-0.04,0.05,-0.04
0.74,-0.1,7.61,-0.07,-0.01,-0.04
0.59,-0.14,8.66,-0.09,-0.07,-0.05
0.25,-0.05,10.07,-0.09,-0.08,-0.04
0.14,-0.07,11.12,-0.04,-0.02,-0.04
0.3,-0.04,10.88,-0.02,0.03,-0.04
0.48,-0.05,9.73,-0.01,0.07,-0.04
0.7,-0.06,8.08,-0.04,0.05,-0.04
0.76,-0.12,7.63,-0.07,-0.02,-0.04
0.58,-0.12,8.63,-0.09,-0.07,-0.05
0.28,-0.09,10.18,-0.09,-0.08,-0.04
0.15,-0.07,11.1,-0.04,-0.02,-0.04
0.32,-0.01,10.79,-0.02,0.04,-0.04
0.48,-0.05,9.82,-0.01,0.07,-0.04
0.68,-0.04,8.02,-0.04,0.05,-0.04
0.75,-0.1,7.65,-0.07,-0.01,-0.05
0.59,-0.13,8.65,-0.09,-0.07,-0.05
0.25,-0.08,10.03,-0.09,-0.08,-0.04
0.15,-0.07,11.13,-0.04,-0.02,-0.04
0.27,-0.05,10.89,-0.02,0.04,-0.04
0.47,-0.04,9.77,-0.01,0.07,-0.04
0.69,-0.07,8.22,-0.03,0.05,-0.04
0.78,-0.13,7.62,-0.07,-0.01,-0.05
0.65,-0.17,8.53,-0.09,-0.07,-0.04
0.3,-0.1,10.08,-0.09,-0.08,-0.04
0.15,-0.09,11.11,-0.05,-0.03,-0.04
0.32,-0.03,10.9,-0.02,0.03,-0.04
0.45,-0.04,9.85,-0.01,0.07,-0.04
0.66,-0.02,8.1,-0.04,0.05,-0.04
0.77,-0.11,7.58,-0.06,-0.01,-0.04
0.6,-0.13,8.54,-0.09,-0.07,-0.04
0.3,-0.09,10,-0.09,-0.09,-0.04
0.16,-0.07,11.09,-0.05,-0.03,-0.04
0.29,-0.04,10.99,-0.02,0.03,-0.04
0.49,-0.04,9.83,-0.01,0.07,-0.04
0.68,-0.05,8.26,-0.03,0.05,-0.04
0.75,-0.11,7.65,-0.07,-0.01,-0.05
0.6,-0.14,8.42,-0.09,-0.07,-0.04
0.26,-0.08,10.01,-0.09,-0.09,-0.04
0.13,-0.07,11.04,-0.05,-0.03,-0.04
0.27,-0.02,10.99,-0.02,0.03,-0.04
0.46,-0.06,9.98,-0.01,0.07,-0.04
0.67,-0.05,8.26,-0.04,0.06,-0.04
0.77,-0.1,7.63,-0.06,0,-0.04
0.63,-0.14,8.39,-0.09,-0.07,-0.04
0.3,-0.07,9.86,-0.09,-0.09,-0.04
0.13,-0.05,11.04,-0.05,-0.03,-0.04
0.27,-0.03,11.07,-0.02,0.03,-0.04
0.44,-0.04,10.03,-0.01,0.06,-0.04
0.67,-0.06,8.43,-0.03,0.06,-0.04
0.75,-0.09,7.58,-0.06,0,-0.05
0.65,-0.13,8.27,-0.09,-0.06,-0.04
0.34,-0.09,9.74,-0.09,-0.09,-0.04
0.16,-0.04,10.97,-0.05,-0.04,-0.04
0.24,-0.04,11.13,-0.03,0.02,-0.04
0.42,-0.03,10.07,0,0.06,-0.04
0.6,-0.06,8.66,-0.03,0.06,-0.04
0.75,-0.08,7.54,-0.06,0.01,-0.04
0.66,-0.15,8.13,-0.08,-0.05,-0.05
0.38,-0.11,9.65,-0.09,-0.09,-0.04
0.14,-0.05,10.83,-0.06,-0.05,-0.04
0.23,-0.07,11.17,-0.03,0.02,-0.04
0.38,0,10.14,-0.01,0.06,-0.04
0.63,-0.08,8.66,-0.03,0.06,-0.04
0.77,-0.06,7.51,-0.06,0.02,-0.04
0.64,-0.14,8.13,-0.08,-0.05,-0.04
0.42,-0.13,9.51,-0.09,-0.09,-0.04
0.15,-0.02,10.81,-0.06,-0.05,-0.04
0.22,-0.05,11.26,-0.03,0.01,-0.04
0.37,0.02,10.22,-0.01,0.06,-0.04
0.63,-0.07,8.95,-0.02,0.07,-0.04
0.75,-0.06,7.52,-0.05,0.01,-0.05
0.71,-0.14,8,-0.08,-0.05,-0.04
0.38,-0.09,9.47,-0.09,-0.09,-0.04
0.17,-0.04,10.64,-0.06,-0.06,-0.04
0.18,-0.07,11.25,-0.03,0.01,-0.04
0.35,0.02,10.4,-0.01,0.06,-0.04
0.6,-0.09,9.02,-0.02,0.07,-0.04
0.74,-0.06,7.66,-0.05,0.03,-0.04
0.71,-0.11,7.92,-0.08,-0.04,-0.04
0.49,-0.13,9.24,-0.09,-0.09,-0.05
0.14,-0.03,10.59,-0.07,-0.06,-0.04
0.19,-0.06,11.26,-0.03,0,-0.04
0.33,0.02,10.47,-0.01,0.05,-0.04
0.54,-0.08,9.27,-0.01,0.07,-0.04
0.73,-0.06,7.65,-0.05,0.03,-0.05
0.73,-0.09,7.78,-0.08,-0.03,-0.05
0.48,-0.13,9.09,-0.1,-0.08,-0.05
0.18,-0.04,10.36,-0.08,-0.07,-0.04
0.17,-0.05,11.24,-0.03,0,-0.04
0.4,0.03,10.73,-0.02,0.04,-0.04
0.52,-0.06,9.67,-0.01,0.07,-0.04
0.71,-0.06,7.92,-0.04,0.05,-0.04
0.77,-0.14,7.62,-0.07,-0.02,-0.04
0.6,-0.17,8.75,-0.09,-0.08,-0.04
0.2,-0.06,10.22,-0.08,-0.08,-0.04
0.16,-0.06,11.05,-0.05,-0.02,-0.04
0.3,0.01,10.86,-0.02,0.04,-0.04
0.47,-0.03,9.86,-0.01,0.07,-0.04
0.68,-0.06,7.98,-0.04,0.05,-0.04
0.79,-0.08,7.53,-0.06,-0.01,-0.04
0.58,-0.24,8.7,-0.09,-0.08,-0.05
0.23,-0.06,10.12,-0.09,-0.08,-0.04
0.13,-0.03,11.19,-0.04,-0.02,-0.04
0.29,-0.05,10.94,-0.02,0.04,-0.04
0.48,-0.05,9.73,-0.01,0.07,-0.04
0.69,-0.08,8.21,-0.04,0.05,-0.04
0.76,-0.09,7.54,-0.07,-0.01,-0.04
0.59,-0.12,8.46,-0.09,-0.07,-0.05
0.26,-0.05,10.02,-0.09,-0.09,-0.04
0.14,-0.06,11.09,-0.05,-0.03,-0.04
0.28,-0.03,11.07,-0.02,0.03,-0.04
0.47,-0.03,9.97,-0.01,0.07,-0.04
0.69,-0.07,8.32,-0.03,0.06,-0.04
0.77,-0.08,7.56,-0.06,0,-0.04
0.62,-0.14,8.34,-0.09,-0.07,-0.04
0.37,-0.11,9.77,-0.09,-0.09,-0.04
0.14,-0.04,10.99,-0.05,-0.04,-0.04
0.24,-0.05,11.2,-0.03,0.02,-0.04
0.42,-0.04,10.05,-0.01,0.07,-0.04
0.62,-0.05,8.63,-0.03,0.06,-0.04
0.75,-0.08,7.51,-0.06,0.01,-0.04
0.68,-0.11,8.09,-0.08,-0.05,-0.04
0.36,-0.11,9.63,-0.09,-0.09,-0.04
0.15,-0.05,10.8,-0.06,-0.05,-0.04
0.22,-0.04,11.25,-0.03,0.01,-0.04
0.39,0.02,10.24,-0.01,0.06,-0.04
0.6,-0.06,8.83,-0.02,0.07,-0.04
0.75,-0.06,7.51,-0.05,0.02,-0.04
0.68,-0.14,8.03,-0.08,-0.05,-0.04
0.45,-0.14,9.27,-0.1,-0.09,-0.04
0.17,-0.04,10.63,-0.07,-0.06,-0.04
0.2,-0.06,11.3,-0.03,0,-0.04
0.34,0.02,10.42,-0.01,0.06,-0.04
0.54,-0.09,9.28,-0.02,0.07,-0.04
0.72,-0.04,7.72,-0.05,0.04,-0.04
0.71,-0.12,7.76,-0.08,-0.03,-0.05
0.52,-0.15,9.09,-0.09,-0.08,-0.04
0.17,-0.02,10.37,-0.08,-0.07,-0.04
0.15,-0.08,11.2,-0.04,-0.01,-0.04
0.28,0.01,10.77,-0.02,0.04,-0.04
0.49,-0.06,9.62,-0.01,0.07,-0.04
0.68,-0.01,7.9,-0.04,0.04,-0.04
0.77,-0.12,7.6,-0.07,-0.01,-0.04
0.56,-0.14,8.69,-0.09,-0.08,-0.04
0.27,-0.05,10.02,-0.09,-0.08,-0.04
0.13,-0.07,11.09,-0.04,-0.03,-0.04
0.26,-0.05,11.05,-0.02,0.03,-0.04
0.45,-0.05,9.88,-0.01,0.07,-0.04
0.64,-0.05,8.36,-0.03,0.06,-0.04
0.75,-0.08,7.55,-0.06,0,-0.05
0.65,-0.14,8.26,-0.09,-0.06,-0.05
0.33,-0.09,9.77,-0.09,-0.09,-0.04
0.14,-0.05,10.88,-0.05,-0.05,-0.04
0.23,-0.05,11.16,-0.03,0.02,-0.04
0.39,0,10.19,-0.01,0.06,-0.04
0.6,-0.05,8.71,-0.03,0.07,-0.04
0.74,-0.04,7.52,-0.05,0.02,-0.04
0.65,-0.12,8.05,-0.08,-0.05,-0.05
0.42,-0.12,9.36,-0.09,-0.09,-0.05
0.13,-0.02,10.71,-0.06,-0.06,-0.04
0.19,-0.1,11.29,-0.03,0,-0.04
0.34,0.02,10.4,-0.01,0.06,-0.04
0.58,-0.08,9.27,-0.02,0.07,-0.04
0.75,-0.03,7.61,-0.05,0.03,-0.04
0.71,-0.15,7.81,-0.08,-0.03,-0.04
0.51,-0.16,9.06,-0.1,-0.09,-0.04
0.24,-0.06,10.42,-0.08,-0.07,-0.04
0.14,-0.05,11.26,-0.04,-0.01,-0.04
0.3,0.02,10.74,-0.02,0.04,-0.04
0.51,-0.07,9.48,-0.01,0.07,-0.04
0.68,-0.03,7.88,-0.04,0.05,-0.04
0.77,-0.12,7.64,-0.07,-0.02,-0.04
0.6,-0.15,8.58,-0.09,-0.07,-0.04
0.29,-0.1,10.13,-0.08,-0.08,-0.04
0.12,-0.07,11.14,-0.05,-0.03,-0.04
0.28,-0.02,10.94,-0.02,0.03,-0.04
0.43,-0.04,9.94,-0.01,0.07,-0.04
0.64,-0.05,8.29,-0.03,0.06,-0.04
0.77,-0.08,7.51,-0.06,0,-0.04
0.64,-0.14,8.29,-0.09,-0.06,-0.05
0.3,-0.06,9.67,-0.09,-0.09,-0.04
0.17,-0.07,10.96,-0.05,-0.04,-0.04
0.2,-0.06,11.25,-0.03,0.02,-0.04
0.41,0.01,10.15,-0.01,0.06,-0.04
0.57,-0.06,8.9,-0.02,0.07,-0.04
0.76,-0.06,7.51,-0.05,0.02,-0.05
0.69,-0.11,7.95,-0.08,-0.04,-0.04
0.44,-0.12,9.34,-0.09,-0.09,-0.04
